INFO: 2023/08/07 01:38:50 authen.go:68: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/07 01:39:01 authen.go:68: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/07 01:42:38 authen.go:68: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/07 01:42:54 authen.go:99: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/07 01:43:00 authen.go:99: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/07 01:43:07 authen.go:99: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/07 01:43:11 authen.go:68: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/07 01:43:21 products.go:79: API Endpoint: /api/v2/product, Request Method: GET
INFO: 2023/08/07 01:43:25 products.go:95: API Endpoint: /api/v2/product/:id, Request Method: GET
INFO: 2023/08/07 01:43:38 products.go:113: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/07 01:43:47 products.go:113: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/07 01:43:50 products.go:113: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/07 01:43:58 products.go:208: API Endpoint: /api/v2/product, Request Method: PUT
INFO: 2023/08/07 01:44:03 products.go:208: API Endpoint: /api/v2/product, Request Method: PUT
INFO: 2023/08/07 01:44:14 transaction.go:79: API Endpoint: /api/v2/transaction, Request Method: GET
INFO: 2023/08/07 01:44:22 transaction.go:91: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/07 01:44:44 transaction.go:91: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/07 01:44:55 transaction.go:91: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/07 01:45:03 transaction.go:91: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/07 01:45:13 transaction.go:91: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/07 01:45:14 transaction.go:91: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/07 01:45:25 transaction.go:91: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/07 01:45:28 transaction.go:79: API Endpoint: /api/v2/transaction, Request Method: GET
