INFO: 2023/08/09 00:08:13 products.go:81: API Endpoint: /api/v2/product, Request Method: GET
INFO: 2023/08/09 00:08:15 products.go:97: API Endpoint: /api/v2/product/:id, Request Method: GET
INFO: 2023/08/09 00:08:19 products.go:115: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 00:08:20 products.go:115: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 00:08:23 products.go:115: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 00:08:24 products.go:115: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 00:08:26 products.go:210: API Endpoint: /api/v2/product, Request Method: PUT
INFO: 2023/08/09 00:08:29 products.go:210: API Endpoint: /api/v2/product, Request Method: PUT
INFO: 2023/08/09 00:08:38 transaction.go:79: API Endpoint: /api/v2/transaction, Request Method: GET
INFO: 2023/08/09 00:16:13 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:22:12 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:24:56 authen.go:108: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/09 00:25:41 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:30:07 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:30:12 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:40:26 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:54:53 authen.go:108: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/09 00:55:02 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:55:13 authen.go:108: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/09 00:55:16 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 00:57:47 authen.go:108: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/09 00:58:02 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 01:06:18 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 01:06:32 authen.go:108: API Endpoint: /api/v2/register, Request Method: POST
INFO: 2023/08/09 01:06:36 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 01:11:16 products.go:83: API Endpoint: /api/v2/product, Request Method: GET
INFO: 2023/08/09 01:11:19 products.go:101: API Endpoint: /api/v2/product/:id, Request Method: GET
INFO: 2023/08/09 01:11:24 products.go:120: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 01:11:26 products.go:120: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 01:11:28 products.go:120: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 01:11:31 products.go:120: API Endpoint: /api/v2/product, Request Method: POST
INFO: 2023/08/09 01:11:34 products.go:217: API Endpoint: /api/v2/product, Request Method: PUT
INFO: 2023/08/09 01:11:36 products.go:217: API Endpoint: /api/v2/product, Request Method: PUT
INFO: 2023/08/09 01:11:58 products.go:217: API Endpoint: /api/v2/product, Request Method: PUT
INFO: 2023/08/09 01:12:04 transaction.go:80: API Endpoint: /api/v2/transaction, Request Method: GET
INFO: 2023/08/09 01:12:14 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 01:12:44 transaction.go:80: API Endpoint: /api/v2/transaction, Request Method: GET
INFO: 2023/08/09 01:12:46 transaction.go:93: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/09 01:12:48 transaction.go:93: API Endpoint: /api/v2/transaction, Request Method: POST
INFO: 2023/08/09 01:29:14 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 01:42:03 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 01:42:15 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
INFO: 2023/08/09 01:45:08 authen.go:73: API Endpoint: /api/v2/login, Request Method: POST
